"title","year"
"All About Eve","1950"
"Get Out","2017"
"Modern Times","1936"
"Singin' in the Rain","1952"
"It Happened One Night","1934"
"A Hard Day's Night","1964"
"Toy Story 3","2010"
"Toy Story 2","1999"
"The Philadelphia Story","1940"
"Zootopia","2016"
"Up","2009"
"Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb","1964"
"Finding Nemo","2003"
"Annie Hall","1977"
"La La Land","2016"
"Roman Holiday","1953"
"Toy Story","1995"
"Cool Hand Luke","1967"
"Monty Python and the Holy Grail","1975"
"The LEGO Movie","2014"
"La Dolce Vita","1960"
"The Gold Rush","1925"
"It's a Wonderful Life","1946"
"Before Midnight","2013"
"Shaun the Sheep Movie","2015"
"The Artist","2011"
"Mary Poppins","1964"
"Playtime","1973"
"Love & Friendship","2016"
"To Be or Not to Be","1942"
"City Lights","1931"
"The Rules of the Game","1939"
"His Girl Friday","1940"
"Ratatouille","2007"
"The Discreet Charm Of The Bourgeoisie","1972"
"Gentlemen Prefer Blondes","1953"
"The Incredibles","2004"
"8 1/2","1963"
"Hunt for the Wilderpeople","2016"
"Manhattan","1979"
"Tampopo","1985"
"Chicken Run","2000"
"Big","1988"
"101 Dalmatians","1961"
"Airplane!","1980"
"Ghostbusters","1984"
"Don't Think Twice","2016"
"Paddington","2015"
"Duck Soup","1933"
"The Grand Budapest Hotel","2014"
"Spy","2015"
"Birdman","2014"
"Before Sunrise","1995"
"Some Like It Hot","1959"
"Back to the Future","1985"
"Moonrise Kingdom","2012"
"Bringing Up Baby","1938"
"The Princess Bride","1987"
"Monsters, Inc.","2001"
"Sideways","2004"
"Enough Said","2013"
"Amadeus","1984"
"The Muppets","2011"
"Bull Durham","1988"
"Paterson","2016"
"The Player","1992"
"The Nice Guys","2016"
"Who Framed Roger Rabbit","1988"
"Truman","2017"
"Tangerine","2015"
"The Lego Batman Movie","2017"
"Anomalisa","2015"
"What We Do In The Shadows","2015"
"Sense and Sensibility","1995"
"Brazil","1985"
"Le goût des autres","2000"
"Todo sobre mi madre","1999"
"Repo Man","1984"
"The Band's Visit","2007"
"We Are the Best!","2014"
"Lost In Translation","2003"
"Monty Python's Life of Brian","1979"
"The Truman Show","1998"
"Broadcast News","1987"
"Say Anything...","1989"
"The Apartment","1960"
"Le Havre","2011"
"Mafioso","1964"
"Groundhog Day","1993"
"Antz","1998"
"Hairspray","1988"
"The Edge of Seventeen","2016"
"Yellow Submarine","1968"
"Juno","2007"
"Monsieur Lazhar","2012"
"Wallace & Gromit: The Curse of the Were-Rabbit","2005"
"My Fair Lady","1964"
"Risky Business","1983"
"Silver Linings Playbook","2012"
"The Man Without a Past","2002"
